"MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LandContour","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","WoodDeckSF","OpenPorchSF","EnclosedPorch","Fence","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
20,"RL",85,11049,3,"Lvl","Corner","CollgCr","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd",0,0,"Gd","TA","PConc",5,3,3,1,0,1,0,1234,1234,"Ex",1234,0,1234,0,2,0,3,"Gd",7,0,0,"Attchd",2007,2,2,484,3,0,30,0,"None",1,2008,"WD","Normal",179900
20,"RL",70,10552,2,"Lvl","Inside","NAmes","Norm","1Fam","1Story",5,5,1959,1959,"Hip","BrkFace","BrkFace",0,0,"TA","TA","CBlock",3,3,1,3,1018,1,0,380,1398,"Gd",1700,0,1700,0,1,1,4,"Gd",6,1,4,"Attchd",1959,2,2,447,3,0,38,0,"None",4,2010,"WD","Normal",165500
120,"RL",60,7313,3,"Lvl","Inside","NridgHt","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","MetalSd","MetalSd",1,246,"Ex","TA","PConc",5,3,1,6,1153,1,0,408,1561,"Ex",1561,0,1561,1,2,0,2,"Ex",6,1,4,"Attchd",2005,3,2,556,3,203,47,0,"None",8,2007,"WD","Normal",277500
60,"RL",108,13418,3,"Lvl","Inside","NridgHt","Norm","1Fam","2Story",8,5,2004,2005,"Gable","VinylSd","VinylSd",2,132,"Gd","TA","PConc",5,3,3,1,0,1,0,1117,1117,"Ex",1132,1320,2452,0,3,1,4,"Gd",9,1,4,"BuiltIn",2004,3,3,691,3,113,32,0,"None",9,2006,"WD","Normal",309000
20,"RL",112,10859,3,"Lvl","Corner","CollgCr","Norm","1Fam","1Story",5,5,1994,1995,"Gable","VinylSd","VinylSd",0,0,"TA","TA","PConc",4,3,1,1,0,1,0,1097,1097,"Ex",1097,0,1097,0,1,1,3,"TA",6,0,0,"Attchd",1995,1,2,672,3,392,64,0,"None",6,2009,"WD","Normal",145000
20,"RL",74,8532,3,"Lvl","Inside","NAmes","Norm","1Fam","1Story",5,6,1954,1990,"Hip","Wd Sdng","Wd Sdng",1,650,"TA","TA","CBlock",3,3,1,3,1213,1,0,84,1297,"Gd",1297,0,1297,0,1,0,3,"TA",5,1,3,"Attchd",1954,3,2,498,3,0,0,0,"None",10,2009,"WD","Normal",153000
20,"RL",68,7922,3,"Lvl","Inside","NAmes","Norm","1Fam","1Story",5,7,1953,2007,"Gable","VinylSd","VinylSd",0,0,"TA","Gd","CBlock",3,3,1,6,731,1,0,326,1057,"TA",1057,0,1057,1,1,0,3,"Gd",5,0,0,"Detchd",1953,1,1,246,3,0,52,0,"None",1,2010,"WD","Abnorml",109000
90,"RL",65,6040,3,"Lvl","Inside","Edwards","Norm","Duplex","1Story",4,5,1955,1955,"Gable","AsbShng","Plywood",0,0,"TA","TA","PConc",0,0,0,0,0,0,0,0,0,"TA",1152,0,1152,0,2,0,2,"Fa",6,0,0,"No Garage",1955,0,0,0,0,0,0,0,"None",6,2008,"WD","AdjLand",82000
20,"RL",84,8658,3,"Lvl","Inside","NAmes","Norm","1Fam","1Story",6,5,1965,1965,"Gable","Wd Sdng","Wd Sdng",1,101,"TA","TA","CBlock",3,3,1,3,643,1,0,445,1088,"Ex",1324,0,1324,0,2,0,3,"TA",6,1,3,"Attchd",1965,2,2,440,3,0,138,0,"GdWo",12,2006,"WD","Abnorml",160000
20,"RL",115,16905,3,"Lvl","Inside","Timber","Norm","1Fam","1Story",5,6,1959,1959,"Gable","VinylSd","VinylSd",0,0,"TA","Gd","CBlock",3,3,4,4,967,1,0,383,1350,"Gd",1328,0,1328,0,1,1,2,"TA",5,2,4,"Attchd",1959,2,1,308,3,0,104,0,"None",7,2007,"WD","Normal",170000
85,"RL",67,9180,2,"Lvl","CulDSac","SawyerW","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","HdBoard","HdBoard",0,0,"TA","TA","CBlock",4,3,3,5,747,2,93,0,840,"Gd",884,0,884,1,1,0,2,"Gd",5,0,0,"Attchd",1983,2,2,504,3,240,0,0,"MnPrv",12,2007,"WD","Normal",144000
20,"RL",70,9200,2,"Lvl","CulDSac","CollgCr","Norm","1Fam","1Story",5,6,1975,1980,"Hip","VinylSd","VinylSd",0,0,"TA","TA","CBlock",4,3,3,2,280,4,491,167,938,"TA",938,0,938,1,1,0,3,"TA",5,0,0,"Detchd",1977,1,1,308,3,145,0,0,"MnPrv",7,2008,"WD","Normal",130250
20,"RL",70,7945,3,"Lvl","Inside","NAmes","Norm","1Fam","1Story",5,6,1959,1959,"Gable","BrkFace","Wd Sdng",0,0,"TA","TA","CBlock",3,3,1,5,179,4,506,465,1150,"Ex",1150,0,1150,1,1,0,3,"TA",6,0,0,"Attchd",1959,2,1,300,3,0,0,0,"None",5,2006,"WD","Normal",141000
120,"RL",61,7658,3,"Lvl","Inside","NridgHt","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","MetalSd","MetalSd",1,412,"Ex","TA","PConc",5,3,1,6,456,1,0,1296,1752,"Ex",1752,0,1752,1,2,0,2,"Ex",6,1,4,"Attchd",2005,2,2,576,3,196,82,0,"None",2,2010,"WD","Normal",319900
50,"RL",48,12822,2,"Lvl","CulDSac","Mitchel","Norm","1Fam","1.5Fin",7,5,2003,2003,"Gable","VinylSd","VinylSd",0,0,"Gd","TA","PConc",5,3,1,6,1351,1,0,83,1434,"Ex",1518,631,2149,1,1,1,1,"Gd",6,1,5,"Attchd",2003,2,2,670,3,168,43,0,"None",8,2009,"WD","Abnorml",239686
20,"FV",84,11096,3,"Lvl","Inside","Somerst","Norm","1Fam","1Story",8,5,2006,2006,"Gable","VinylSd","VinylSd",0,0,"Gd","TA","PConc",4,3,3,6,24,1,0,1632,1656,"Ex",1656,0,1656,0,2,0,3,"Gd",7,0,0,"Attchd",2006,2,3,826,3,0,146,0,"None",7,2007,"WD","Normal",249700
190,"RM",33,4456,3,"Lvl","Inside","OldTown","Norm","2fmCon","2Story",4,5,1920,2008,"Gable","MetalSd","MetalSd",0,0,"TA","TA","BrkTil",3,3,1,1,0,1,0,736,736,"Gd",736,716,1452,0,2,0,2,"TA",8,0,0,"No Garage",1920,0,0,0,0,0,0,102,"None",6,2009,"New","Partial",113000
20,"RL",66,7742,3,"Lvl","Inside","Sawyer","Norm","1Fam","1Story",5,7,1966,1966,"Gable","HdBoard","HdBoard",0,0,"TA","TA","CBlock",3,3,1,4,763,1,0,192,955,"Ex",955,0,955,1,1,0,3,"TA",6,0,0,"Attchd",1966,1,1,386,3,0,0,0,"MnPrv",1,2007,"WD","Normal",127000
60,"RL",64,13869,1,"Lvl","Corner","Gilbert","Norm","1Fam","2Story",6,6,1997,1997,"Gable","VinylSd","VinylSd",0,0,"TA","TA","PConc",4,3,3,6,182,1,0,612,794,"Gd",794,676,1470,0,2,0,3,"TA",6,0,0,"Attchd",1997,3,2,388,3,0,75,0,"None",7,2007,"WD","Normal",177000
50,"RM",52,6240,3,"Lvl","Inside","BrkSide","Norm","1Fam","1.5Fin",6,6,1934,1950,"Gable","Wd Sdng","Wd Sdng",0,0,"TA","TA","PConc",3,3,1,1,0,1,0,816,816,"TA",816,0,1176,0,1,0,3,"TA",6,1,4,"Detchd",1985,1,2,528,3,112,0,0,"MnPrv",9,2006,"WD","Normal",114500
90,"RM",110,8472,1,"Bnk","Corner","IDOTRR","RRNn","Duplex","1Story",5,5,1963,1963,"Gable","Wd Sdng","Wd Sdng",0,0,"Fa","TA","CBlock",4,3,4,2,104,6,712,0,816,"TA",816,0,816,1,1,0,2,"TA",5,0,0,"CarPort",1963,1,2,516,3,106,0,0,"None",5,2010,"WD","Normal",110000
20,"RL",68,50271,2,"Low","Inside","Veenker","Norm","1Fam","1Story",9,5,1981,1987,"Gable","WdShing","Wd Shng",0,0,"Gd","TA","CBlock",5,3,4,6,1810,1,0,32,1842,"Gd",1842,0,1842,2,0,1,0,"Gd",5,1,4,"Attchd",1981,3,3,894,3,857,72,0,"None",11,2006,"WD","Normal",385000
80,"RL",60,7134,3,"Bnk","Inside","NAmes","Norm","1Fam","SLvl",5,5,1955,1955,"Gable","MetalSd","MetalSd",0,0,"TA","TA","CBlock",3,3,1,5,384,1,0,0,384,"TA",1360,0,1360,0,1,0,3,"TA",6,1,3,"Detchd",1962,1,2,572,3,0,50,0,"MnPrv",2,2007,"WD","Normal",130000
20,"RL",100,10175,2,"Lvl","Inside","NAmes","Norm","1Fam","1Story",6,5,1964,1964,"Gable","HdBoard","Plywood",1,272,"TA","TA","CBlock",3,3,1,4,490,1,0,935,1425,"Gd",1425,0,1425,0,2,0,3,"TA",7,1,4,"Attchd",1964,2,2,576,3,0,0,0,"None",7,2008,"WD","Normal",180500
160,"FV",24,2645,3,"Lvl","Inside","Somerst","Norm","Twnhs","2Story",8,5,1999,2000,"Gable","MetalSd","MetalSd",1,456,"Gd","TA","PConc",4,3,1,6,649,1,0,321,970,"Ex",983,756,1739,1,2,1,3,"Gd",7,0,0,"Attchd",1999,3,2,480,3,115,0,0,"None",8,2009,"WD","Abnorml",172500
60,"RL",89,11645,2,"Lvl","Corner","CollgCr","Norm","1Fam","2Story",7,5,2004,2004,"Gable","VinylSd","VinylSd",0,0,"Gd","TA","PConc",4,3,1,1,0,1,0,860,860,"Ex",860,860,1720,0,2,1,3,"Gd",7,0,0,"Attchd",2004,2,2,565,3,0,70,0,"None",8,2006,"WD","Normal",196500
60,"RL",66,13682,1,"HLS","CulDSac","StoneBr","Norm","1Fam","2Story",10,5,2006,2006,"Hip","VinylSd","VinylSd",1,1031,"Ex","TA","PConc",5,3,4,1,0,1,0,1410,1410,"Ex",1426,1519,2945,0,3,1,3,"Gd",10,1,4,"BuiltIn",2006,3,3,641,3,192,0,37,"None",10,2006,"New","Partial",438780
20,"RL",60,7200,3,"Bnk","Inside","CollgCr","Norm","1Fam","1Story",5,7,1972,1972,"Gable","HdBoard","HdBoard",0,0,"TA","TA","CBlock",3,3,3,5,632,1,0,148,780,"Ex",780,0,780,0,1,0,2,"TA",4,0,0,"Detchd",1973,1,1,352,3,196,0,0,"MnPrv",1,2008,"WD","Normal",124900
20,"RL",63,13072,3,"Lvl","Inside","SawyerW","RRAe","1Fam","1Story",6,5,2004,2004,"Gable","VinylSd","VinylSd",0,0,"TA","TA","PConc",4,3,1,5,941,1,0,217,1158,"Ex",1158,0,1158,1,1,1,3,"Gd",5,0,0,"Detchd",2006,1,2,576,3,0,50,0,"None",5,2006,"New","Partial",158000
75,"RM",60,7200,3,"Lvl","Inside","IDOTRR","Norm","1Fam","2.5Unf",5,7,1920,1996,"Gable","MetalSd","MetalSd",0,0,"TA","TA","BrkTil",3,2,1,1,0,1,0,530,530,"TA",581,530,1111,0,1,0,3,"Fa",6,0,0,"Detchd",1935,1,1,288,3,0,0,144,"None",3,2007,"WD","Normal",101000
120,"RL",44,6442,2,"Lvl","Inside","NridgHt","Norm","TwnhsE","1Story",8,5,2006,2006,"Gable","VinylSd","VinylSd",2,178,"Gd","TA","PConc",4,4,2,6,24,1,0,1346,1370,"Ex",1370,0,1370,0,2,0,2,"Gd",6,1,4,"Attchd",2006,2,2,484,3,120,49,0,"None",10,2007,"WD","Normal",202500
70,"RM",50,10300,2,"Bnk","Inside","OldTown","RRAn","1Fam","2Story",7,6,1921,1950,"Gable","Stucco","Stucco",0,0,"TA","TA","BrkTil",3,3,1,1,0,1,0,576,576,"Gd",902,808,1710,0,2,0,3,"TA",9,0,0,"Detchd",1990,1,2,480,3,12,11,64,"GdPrv",4,2010,"WD","Normal",140000
60,"RL",70,9375,3,"Lvl","Inside","CollgCr","Norm","1Fam","2Story",7,5,1997,1998,"Gable","VinylSd","VinylSd",1,573,"TA","TA","PConc",4,3,1,6,739,1,0,318,1057,"Ex",1057,977,2034,1,2,1,3,"Gd",8,0,0,"Attchd",1998,2,2,645,3,576,36,0,"GdPrv",2,2009,"WD","Normal",219500
60,"RL",76,9591,3,"Lvl","Inside","NridgHt","Norm","1Fam","2Story",8,5,2004,2005,"Gable","VinylSd","VinylSd",1,344,"Gd","TA","PConc",5,3,3,1,0,1,0,1143,1143,"Ex",1143,1330,2473,0,2,1,4,"Gd",9,1,4,"BuiltIn",2004,2,3,852,3,192,151,0,"None",10,2007,"WD","Normal",317000
20,"RL",73,19900,3,"Lvl","Inside","NAmes","PosA","1Fam","1Story",7,5,1970,1989,"Gable","Plywood","Plywood",1,287,"TA","TA","CBlock",4,3,4,6,912,1,0,1035,1947,"TA",2207,0,2207,1,2,0,3,"TA",7,1,4,"Attchd",1970,2,2,576,3,301,0,0,"None",7,2010,"WD","Normal",180000
20,"RL",72,10665,2,"Lvl","Inside","CollgCr","Norm","1Fam","1Story",7,5,2003,2003,"Gable","VinylSd","VinylSd",1,167,"Gd","TA","PConc",4,3,3,6,1013,1,0,440,1453,"Ex",1479,0,1479,1,2,0,3,"Gd",7,0,0,"Attchd",2003,2,2,558,3,144,29,0,"None",6,2007,"WD","Normal",226000
30,"RM",47,4608,3,"Lvl","Corner","OldTown","Artery","1Fam","1Story",4,6,1945,1950,"Gable","MetalSd","MetalSd",0,0,"TA","Gd","CBlock",3,3,1,1,0,1,0,747,747,"TA",747,0,747,0,1,0,2,"TA",4,0,0,"Attchd",1945,1,1,220,3,0,0,0,"None",6,2010,"WD","Normal",80000
50,"RL",81,15593,3,"Lvl","Corner","ClearCr","Norm","1Fam","1.5Fin",7,4,1953,1953,"Gable","BrkFace","AsbShng",0,0,"Gd","TA","CBlock",3,3,1,4,603,1,0,701,1304,"TA",1304,983,2287,0,2,0,3,"TA",7,1,3,"Attchd",1953,3,2,667,3,0,21,114,"None",7,2006,"WD","Normal",225000
20,"RL",95,13651,2,"Lvl","Inside","NAmes","Norm","1Fam","1Story",7,6,1973,1973,"Gable","Plywood","Plywood",1,1115,"TA","Gd","CBlock",4,3,4,5,1880,1,0,343,2223,"Ex",2223,0,2223,1,2,0,3,"TA",8,2,4,"Attchd",1973,3,2,516,3,300,0,0,"None",2,2007,"WD","Normal",244000
20,"RL",69,7599,3,"Lvl","Corner","Mitchel","Norm","1Fam","1Story",4,6,1982,2006,"Gable","HdBoard","Plywood",0,0,"TA","TA","CBlock",3,3,1,5,565,1,0,280,845,"TA",845,0,845,1,1,0,2,"TA",4,0,0,"Detchd",1987,1,2,360,3,0,0,0,"None",6,2007,"WD","Normal",129500
60,"RL",74,10141,2,"Lvl","Corner","Gilbert","Norm","1Fam","2Story",7,5,1998,1998,"Gable","VinylSd","VinylSd",1,40,"TA","TA","PConc",4,3,1,1,0,1,0,832,832,"Gd",885,833,1718,0,2,1,3,"TA",7,1,3,"Attchd",1998,3,2,427,3,0,94,0,"None",12,2009,"WD","Normal",185000
